id,brand,model,registrationNumber,pricePerDay,isElectric
3ea1a2cf-0135-4b08-8a4c-5c39988a51ff,Chevrolet,Malibu,JSHA-560,77.00,false
f04c2cf2-c618-484c-a273-7e8c6847ac87,Mercedes-Benz,EQE,ZNPA-884,113.00,true
1848fa7f-d5eb-4205-a6a0-2cc519ffb785,Hyundai,Ioniq 5,DPAD-147,81.00,true
8a246f40-465c-4c9e-bdfb-4cc411cb1396,Hyundai,Ioniq 5,EVMC-336,74.00,true
ab3ae714-27ee-4fd7-bfff-24227ed05858,Toyota,RAV4,THZY-163,78.00,false
3689a138-ffd4-477c-9381-5c02b5c26c48,BMW,i4,ESGG-982,122.00,true
b8d4a638-d872-4c21-9f85-f07b8583d61e,Volkswagen,ID.4,HGAC-716,94.00,true
a3b7e5cb-7969-4e4c-bdc7-c6d881b0f513,Nissan,Leaf,TJMJ-986,84.00,true
ea11e144-418b-44bc-8837-5861bf014152,Audi,Q5,FNWS-988,100.00,false
90dcdb57-fec4-410f-87b1-498716ab8067,Toyota,Corolla,KZWV-273,61.00,false
df4258a1-11c0-461f-a2dd-b1b861d8bbde,Hyundai,Ioniq 5,MZBQ-768,80.00,true
6c9fd2bc-988a-4d52-b3e7-c19e8efb77b7,Hyundai,Ioniq 5,HWVU-785,66.00,true
a41407b5-519c-40dc-a055-b2e48e39e9c1,Volkswagen,Golf,MDZP-072,84.00,false
8c4b18c9-c3da-45f4-81df-f2e8961d945c,Toyota,Corolla,BOVI-898,73.00,false
4bf5df9f-0348-42c9-b870-c60504248b86,Toyota,RAV4,JCZB-731,74.00,false
cf206b83-56b9-4541-bbfc-185964667ec1,Tesla,Model S,EVPT-009,134.00,true
b7f813a3-b2e4-47d2-bb44-22c3a58847a5,Nissan,Qashqai,MSXW-531,47.00,false
edf6db96-a762-447a-a696-282a46d371bc,BMW,3 Series,NUSA-269,89.00,false
6a13472c-1ff9-4420-b618-85120cd5fe1b,Ford,Mustang,KSQR-993,81.00,false
ab1c36d7-e699-46db-b486-121bed126b61,Ford,Mustang,EYYA-146,47.00,false
c6e4889e-116f-4c9a-b15b-e6415222f92f,Skoda,Octavia,AYVO-036,66.00,false
fc6f928a-34e8-4967-b35b-779b2f436ae1,Tesla,Model 3,CZAV-429,128.00,true
cce3d70c-c331-4666-bd78-86fbbb0c54c2,Mercedes-Benz,C-Class,BELX-626,102.00,false
a94aa4c0-3e37-4a0f-80f2-3d7852b34362,Ford,Mustang Mach-E,ZIWF-902,80.00,true
ab33305f-dbba-44cb-9b9d-45b4e769abbd,Volvo,XC60,QGON-994,72.00,false
ae89fcac-2da2-49a4-9d97-aeb8173b8173,Toyota,Camry,OWUK-068,85.00,false
c33bd0d9-6f01-480f-82f8-cb93de7b534a,Kia,EV6,DZZU-898,70.00,true
a6c70c62-b9ee-4368-8d16-74b46a7c127f,Mercedes-Benz,C-Class,IIIC-425,104.00,false
b191ba2c-1ada-435c-b81c-d1bd2f154771,Toyota,Corolla,FLAJ-088,71.00,false
74ee0271-d2cd-47f6-9075-7934325840c6,Skoda,Enyaq,LDTM-294,63.00,true
f5a35a14-ad38-4c17-8254-1337b026945c,Toyota,Corolla,QTQP-206,59.00,false
e09dd5f4-8df0-4f67-8aa7-37b6e152e94f,Tesla,Model Y,SSLB-198,128.00,true
5ce37a67-4bf7-43a2-a63c-3d3f6890a58b,Nissan,Leaf,VMNZ-142,90.00,true
6c762fe0-9512-4fc6-87e9-9c0a3de1c779,Tesla,Model Y,DUMG-123,115.00,true
d604eab5-0f0d-4507-aa8e-5a526103346c,Volvo,XC60,QWVF-359,106.00,false
ffb3d90c-9612-4082-b66f-9ed132af8ecb,Nissan,Leaf,GOFD-064,77.00,true
c60ffac5-74dd-49ab-ae8d-5fbaec43a3cc,Nissan,Leaf,MLBJ-765,78.00,true
85502e71-ce6c-4912-b4be-ef7ce7a92f89,Hyundai,Ioniq 5,NIKX-608,64.00,true
222be454-629e-4580-a8bd-0d62ddde08d2,Audi,e-tron GT,YJQS-731,120.00,true
2efdb81e-0bd3-4a8c-acc6-111fad20d421,BMW,i4,JOXS-391,108.00,true
08fd8241-4905-488c-a73f-280746876932,Polestar,Polestar 2,BJJI-177,94.00,true
e922066e-94f0-4ae3-988f-3665aaafe758,Tesla,Model Y,BILV-393,127.00,true
0054cc02-42b4-46a9-bd70-86004ee2e46b,Mercedes-Benz,C-Class,VYEI-895,93.00,false
c8b324c7-f63f-481b-8133-952f716d30c9,Nissan,Leaf,ATAS-449,76.00,true
3622828f-29c8-4ce6-80b3-d6a09f2ebb35,Audi,e-tron GT,MGAY-568,119.00,true
b1ae8f8e-6a2b-4b0b-9d8c-0369c8a495b4,Chevrolet,Bolt,FMXK-602,90.00,true
ed867933-44ac-4d6b-8488-449bc567f710,Skoda,Octavia,ZCZT-207,80.00,false
26706582-b8c4-4666-aa51-af4b27208704,Mercedes-Benz,EQE,YREZ-353,116.00,true
42e3bbf6-bcb8-427f-a96a-89af5b827323,BMW,X5,SQZA-584,100.00,false
ef6b8f7e-919f-4c84-85e8-37c72926bbbc,Toyota,Corolla,HKOZ-220,70.00,false
